Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,496.6025042585
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37856121
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,18.9
Afghanistan,AFG,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,0.712772447023825
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5460.4305086932
Albania,ALB,"Population, total",SP.POP.TOTL,2854191
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,40.1
Albania,ALB,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,3.01962973045602
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4468.45341883656
Algeria,DZA,"Population, total",SP.POP.TOTL,43294546
Algeria,DZA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.2
Algeria,DZA,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,5.87613044839412
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,12886.1359517218
American Samoa,ASM,"Population, total",SP.POP.TOTL,50209
American Samoa,ASM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.4
American Samoa,ASM,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,0.169292357943795
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,41257.8045846483
Andorra,AND,"Population, total",SP.POP.TOTL,76474
Andorra,AND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,17.2
Andorra,AND,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,..
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2189.85571407618
Angola,AGO,"Population, total",SP.POP.TOTL,32375632
Angola,AGO,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,51
Angola,AGO,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,2.15936479633818
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,18896.3721832248
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,91364
Antigua and Barbuda,ATG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.7
Antigua and Barbuda,ATG,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,4.45689768398932
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,9955.97478680428
Argentina,ARG,"Population, total",SP.POP.TOTL,44973465
Argentina,ARG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,10.7
Argentina,ARG,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,8.02531448266216
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4597.22887399548
Armenia,ARM,"Population, total",SP.POP.TOTL,2962500
Armenia,ARM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,10.3
Armenia,ARM,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,3.19713080168776
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,31096.2050738676
Aruba,ABW,"Population, total",SP.POP.TOTL,109203
Aruba,ABW,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,8.3
Aruba,ABW,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,5.39362471726967
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,54972.7017885437
Australia,AUS,"Population, total",SP.POP.TOTL,25334826
Australia,AUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,10.3
Australia,AUS,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,24.0447595732451
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,49885.9947355204
Austria,AUT,"Population, total",SP.POP.TOTL,8879920
Austria,AUT,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,34
Austria,AUT,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,9.39844052649123
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4805.75371765917
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10024283
Azerbaijan,AZE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1.7
Azerbaijan,AZE,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,5.6243723366549
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,33640.3369861278
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,394675
"Bahamas, The",BHS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1.1
"Bahamas, The",BHS,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,5.39405840248306
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,27259.7438599327
Bahrain,BHR,"Population, total",SP.POP.TOTL,1483756
Bahrain,BHR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
Bahrain,BHR,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,42.4734929462796
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2129.79896954606
Bangladesh,BGD,"Population, total",SP.POP.TOTL,164913055
Bangladesh,BGD,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,26.1
Bangladesh,BGD,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.55140537539614
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,20583.7265786414
Barbados,BRB,"Population, total",SP.POP.TOTL,281207
Barbados,BRB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,3.4
Barbados,BRB,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,3.66882758964037
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6837.77339645635
Belarus,BLR,"Population, total",SP.POP.TOTL,9419758
Belarus,BLR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,7.8
Belarus,BLR,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,9.69671407694338
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,46716.6227467964
Belgium,BEL,"Population, total",SP.POP.TOTL,11488980
Belgium,BEL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,10.2
Belgium,BEL,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,10.7680403308214
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,6190.04792278445
Belize,BLZ,"Population, total",SP.POP.TOTL,385829
Belize,BLZ,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,30.4
Belize,BLZ,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,2.28313579331777
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1130.82135339795
Benin,BEN,"Population, total",SP.POP.TOTL,12726755
Benin,BEN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,46.5
Benin,BEN,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.34892201507768
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,115798.040775578
Bermuda,BMU,"Population, total",SP.POP.TOTL,64107
Bermuda,BMU,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.8
Bermuda,BMU,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,6.04770149905626
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3576.87987100503
Bhutan,BTN,"Population, total",SP.POP.TOTL,764824
Bhutan,BTN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,81
Bhutan,BTN,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,4.35472736211207
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3503.89601123129
Bolivia,BOL,"Population, total",SP.POP.TOTL,11671386
Bolivia,BOL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,13.5
Bolivia,BOL,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,4.3853146490057
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6122.3753450882
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3345533
Bosnia and Herzegovina,BIH,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,36.8
Bosnia and Herzegovina,BIH,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,9.12434580678176
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,7172.08956480028
Botswana,BWA,"Population, total",SP.POP.TOTL,2332083
Botswana,BWA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,26.2
Botswana,BWA,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,5.21851066192756
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,9029.83326681073
Brazil,BRA,"Population, total",SP.POP.TOTL,207455459
Brazil,BRA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,47.5
Brazil,BRA,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,5.8827215532564
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,36395
British Virgin Islands,VGB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1.2
British Virgin Islands,VGB,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,2.59925813985438
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,30426.5730284202
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,442680
Brunei Darussalam,BRN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
